product_id,production_date,product_line,shift,operator_id,temperature_celsius,pressure_psi,humidity_percent,material_grade,production_time_minutes,dimension_length_mm,dimension_width_mm,weight_grams,defect_count,quality_score,pass_fail
3001,2024-04-15,Line_A,Night,109,71.58,138.57,48.14,C,49.92,99.26,48.23,201.26,3,74.76,Pass
3002,2024-10-14,Line_A,Evening,110,75.31,160.18,42.44,A,40.23,101.35,51.74,213.11,3,82.5,Pass
3003,2024-09-06,Line_B,Night,108,69.88,151.76,32.52,C,46.71,98.68,49.6,207.67,1,76.37,Pass
3004,2024-03-03,Line_C,Evening,136,78.54,146.76,23.3,B,42.15,99.74,52.73,214.58,2,80.44,Pass
3005,2024-02-13,Line_C,Morning,132,70.24,166.03,40.69,B,41.97,97.22,51.92,170.43,4,84.39,Fail
3006,2024-05-28,Line_D,Evening,145,82.0,122.25,46.24,B,32.3,99.12,48.19,190.35,2,75.23,Fail
3007,2024-02-15,Line_D,Morning,106,74.72,160.22,44.96,A,45.36,101.12,51.08,206.11,0,94.09,Pass
3008,2024-06-23,Line_D,Morning,106,80.7,134.27,36.33,B,48.27,102.19,51.58,200.78,1,81.28,Pass
3009,2024-06-02,Line_A,Morning,127,69.63,151.33,51.66,A,51.75,100.9,47.49,193.98,2,96.9,Pass
3010,2024-09-17,Line_A,Night,102,83.23,159.65,41.81,A,31.06,102.75,49.61,202.88,0,90.24,Pass
3011,2024-05-12,Line_C,Morning,109,69.58,132.14,51.81,B,52.62,97.16,49.19,196.69,4,75.3,Pass
3012,2024-10-13,Line_A,Morning,138,74.73,162.36,52.12,A,50.82,101.05,51.63,233.13,3,89.26,Pass
3013,2024-06-04,Line_C,Morning,105,68.48,148.62,51.56,B,56.78,98.24,48.65,220.14,3,70.7,Pass
3014,2024-11-28,Line_D,Night,134,75.11,141.96,50.12,B,42.09,100.84,50.4,222.27,0,94.22,Pass
3015,2024-08-28,Line_C,Evening,114,74.3,152.22,35.49,B,45.55,98.37,52.9,227.11,1,99.23,Pass
